#{"t_start": 1776489777.5702183, "env_id": "None"}
r,l,t
-53.0,25,9.507289
-79.0,27,10.1162
-81.0,35,12.601403
-58.0,38,13.579696
-33.0,40,14.227347
-211.0,41,14.553846
22.0,41,14.554123
-155.0,42,14.873781
-42.0,19,15.526868
-82.0,47,16.491728
-231.0,48,16.816245
-16.0,50,17.464154
-65.0,52,18.105338
-155.0,54,18.751145
-232.0,57,19.72074
-238.0,59,20.367303
-112.0,22,22.58852
-41.0,36,24.180807
13.0,73,24.821665
20.0,75,25.466038
-352.0,75,25.466303
-158.0,37,26.753449
-58.0,40,27.071744
-51.0,36,28.355493
26.0,49,29.30626
-166.0,23,29.928468
-40.0,40,30.243621
-281.0,93,31.185084
-301.0,93,31.185324
51.0,57,32.778792
-138.0,53,33.417433
-63.0,46,33.417733
-48.0,31,38.242622
-16.0,117,38.925219
-62.0,29,39.260139
-217.0,45,39.919755
613.0,122,40.583616
19.0,52,41.540595
17.0,45,41.540887
-142.0,46,41.540961
-65.0,35,41.541024
-219.0,69,42.487006
7.0,31,42.824537
-49.0,21,46.237625
-15.0,54,46.892754
-307.0,76,48.909222
-94.0,67,53.387855
-185.0,160,53.38818
-168.0,61,53.72567
70.0,41,54.42075
-937.0,165,55.086113
-73.0,24,55.08639
-135.0,41,55.43119
14.0,43,56.105329
-20.0,45,56.594476
-112.0,32,56.870599
-33.0,172,57.152481
-231.0,58,57.441134
-86.0,48,57.441363
-242.0,173,57.441499
-461.0,174,57.750176
-105.0,133,57.757115
-68.0,35,59.908365
-192.0,91,60.430336
-89.0,22,61.348822
-45.0,22,63.270666
-77.0,31,63.604583
62.0,35,63.956516
-297.0,68,64.650585
-72.0,32,64.995012
-272.0,84,67.041165
-266.0,77,67.338252
-98.0,39,68.512412
152.0,160,69.421618
122.0,213,69.741553
-145.0,26,69.741909
-74.0,21,70.06442
-26.0,54,70.372459
-159.0,35,70.999594
5.0,24,72.551727
-231.0,56,74.740325
-16.0,34,74.740675
38.0,36,75.06251
-202.0,39,76.965056
-85.0,70,77.617001
-43.0,26,78.270866
-69.0,67,78.586659
465.0,83,79.237792
-17.0,41,80.191819
-293.0,75,81.137561
-389.0,223,81.464115
-43.0,80,82.455103
-5.0,38,82.455412
-109.0,46,83.127634
-41.0,26,83.450444
-1011.0,184,84.390284
-36.0,22,85.357465
-171.0,54,86.96228
-70.0,28,88.23077
-117.0,51,88.872195
94.0,45,89.191181
-283.0,59,89.830326
-8.0,25,91.435791
-107.0,23,92.703148
-1288.0,285,92.703509
-745.0,189,93.963939
246.0,174,94.595264
-890.0,236,95.210069
-323.0,61,96.466196
-128.0,45,97.41927
67.0,29,99.001462
-163.0,53,99.334053
-206.0,60,99.334404
40.0,39,99.334543
-305.0,69,99.65804
-8.0,79,99.975478
-70.0,27,99.975824
-30.0,24,100.293942
-205.0,46,103.430862
-212.0,79,103.747424
-59.0,46,103.74778
-65.0,22,106.276783
27.0,41,106.925926
-69.0,24,107.880299
-53.0,28,107.880644
-133.0,28,108.823304
4.0,39,109.797454
-81.0,49,112.021074
-129.0,94,112.349233
-34.0,40,112.34961
-1221.0,349,112.993407
-123.0,21,112.993767
-27.0,43,113.632404
-110.0,94,114.270084
-79.0,36,115.234072
-134.0,25,115.878263
-160.0,56,117.140797
-52.0,47,118.412889
8.0,155,118.732414
-909.0,194,118.732779
-70.0,42,120.32132
-201.0,39,120.321669
-60.0,38,121.917393
7.0,67,125.09668
-35.0,29,125.097055
-245.0,207,126.35527
172.0,57,126.979759
-10.0,38,127.295857
-87.0,48,127.296066
380.0,125,127.933134
-67.0,30,127.933406
-122.0,46,128.249752
-343.0,95,129.513233
-148.0,59,131.737958
-114.0,41,133.323572
-190.0,66,133.323802
2.0,28,133.955293
-422.0,126,134.594037
-178.0,72,135.230195
-756.0,249,135.86703
-212.0,49,137.440376
-229.0,65,137.758562
37.0,20,138.068867
-145.0,38,139.011184
-50.0,38,139.330196
-141.0,37,139.955381
-173.0,39,140.272259
-231.0,190,141.555311
-1284.0,439,141.555579
32.0,26,141.555714
-11.0,18,141.555786
-239.0,47,142.201345
-245.0,95,144.448394
-181.0,33,144.448702
-140.0,68,146.709109
-119.0,27,146.709394
-40.0,27,147.675968
-205.0,61,148.957754
-93.0,49,148.958075
-27.0,40,150.249248
-309.0,103,151.52984
-321.0,75,151.851509
24.0,36,153.130268
-676.0,226,153.458756
-51.0,21,153.459011
-735.0,194,154.401367
-517.0,190,155.667919
-21.0,31,157.601806
-271.0,56,157.946051
-166.0,60,158.612418
-244.0,76,158.952916
-992.0,290,159.297087
-253.0,46,159.297321
-134.0,57,160.01129
-255.0,80,161.031087
-137.0,57,163.132641
-67.0,43,163.13293
-309.0,81,164.1991
36.0,45,168.415686
-168.0,50,168.789161
-163.0,81,169.143482
-80.0,33,169.495298
-62.0,47,169.495559
77.0,58,169.852351
-145.0,39,172.279073
-194.0,37,172.279359
-205.0,66,173.995736
-244.0,58,175.746645
-95.0,40,177.134754
-53.0,28,178.200601
-43.0,20,179.247794
-72.0,32,179.94627
-37.0,59,181.686651
-80.0,51,182.045007
-83.0,126,182.735609
-472.0,171,183.097888
-222.0,70,183.459043
-55.0,47,185.837548
-201.0,42,186.899817
-66.0,24,187.538818
-103.0,29,188.188326
-320.0,55,188.188569
-144.0,54,188.18869
-372.0,126,189.462167
-283.0,90,190.481168
-89.0,60,190.481503
-126.0,35,191.780261
-70.0,47,193.067703
-8.0,32,193.391103
-815.0,223,194.024775
-140.0,65,197.525558
-51.0,30,197.859068
-112.0,34,199.173553
-227.0,107,199.497889
-149.0,39,200.133441
-44.0,42,200.453291
62.0,127,200.775542
-65.0,25,201.416975
-69.0,36,202.061988
53.0,28,202.062225
103.0,49,203.97574
142.0,192,205.575823
-359.0,97,206.264097
-154.0,173,206.937433
-56.0,23,207.591316
201.0,76,207.940201
-51.0,32,208.266681
-289.0,82,208.91722
20.0,27,209.567212
-272.0,88,210.568976
-2.0,40,210.569204
181.0,65,211.55175
-531.0,211,211.873704
-104.0,41,212.525545
-108.0,59,213.176493
42.0,39,213.176762
-180.0,85,213.508289
-60.0,37,214.159634
-65.0,44,216.422076
-135.0,28,216.752847
-11.0,33,217.084426
-1254.0,322,218.817946
-104.0,29,219.135978
-29.0,47,219.476153
20.0,27,221.568409
5.0,40,222.261916
-103.0,42,222.262205
-137.0,22,224.356012
-1183.0,209,224.705549
37.0,127,225.416625
-424.0,110,225.767444
-117.0,61,227.534283
-56.0,43,228.963869
-65.0,37,229.31391
